Doc;NF;Pedido;Geração;Horário;Cliente;CNPJ;Representante;Vendedor;Transportador;Valor Líquido;
NFS;148319;13450;06/01/2026;15:36;INDUSTRIA E COMERCIO DE EMBREAGENS PRIMOS LTDA-EPP;01.623.913/0001-27;MARINETE ATENDIM DIRETO;MARINETE GONÇALVES DE OLIVEIRA;ULTRAPRESS CARGAS LTDA. (COLETA); 6.556,50 ;
NFS;148320;13445;06/01/2026;15:48;VAREJAO COMERCIO E SERVICOS LTDA;14.897.423/0001-60;AVANT COMERCIO E REPRESENTAÇOES;MARINETE GONÇALVES DE OLIVEIRA;TRANSPECAS TRANSPORTES ESP. DE CARGAS E REPRESENTAÇÃO LTDA (N); 5.096,90 ;
NFS;148321;13471;06/01/2026;16:26;DINATEC PECAS E SERVICOS LTDA;56.124.506/0002-48;TALITA ATENDIM DIRETO;TALITA SANTOS STEVANELLI;RODONAVES ATE 100 KG; 3.508,64 ;
NFS;148322;13439;06/01/2026;16:38;JS DISTRIBUIDORA DE PECAS S/A;04.185.877/0004-06;FERNANDES REPRESENTAÇÕES LTDA – ME;ANDRE OLIVEIRA;GLOBAL AIR CARGO LTDA.(COLETA) (GLOBAL CARGO); 13.291,94 ;
NFS;148323;13431;06/01/2026;16:44;JS DISTRIBUIDORA DE PECAS S/A;04.185.877/0004-06;FERNANDES REPRESENTAÇÕES LTDA – ME;ANDRE OLIVEIRA;GLOBAL AIR CARGO LTDA.(COLETA) (GLOBAL CARGO); 3.145,77 ;
NFS;148325;13448;06/01/2026;16:59;MID DISTRIBUIDORA DE PECAS LTDA;16.722.117/0001-19;WALDISNEY REPRESENTACOES LTDA. M.E.;ANDRE OLIVEIRA;SOLIDA TRANSPORTES LT; 6.129,80 ;
NFS;148326;13421;06/01/2026;16:59;SORASA AUTO PECAS LTDA;72.329.550/0001-60;AAR CISCATO LTDA.;LUAN CLEMENTE COSTA;RODONAVES ATE 100 KG; 3.423,42 ;
NFS;148327;13432;06/01/2026;17:18;M.SAM DISTRIBUIDORA DE PECAS LTDA.;04.935.166/0001-50;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;MECANICA INDUSTRIAL CENTRO LTDA; 2.463,30 ;
NFS;148328;13437;06/01/2026;17:31;DINATEC PECAS E SERVICOS LTDA;56.124.506/0002-48;TALITA ATENDIM DIRETO;TALITA SANTOS STEVANELLI;RODONAVES ATE 100 KG; 8.114,31 ;
NFS;148329;13436;06/01/2026;17:32;DINATEC PECAS E SERVICOS LTDA;56.124.506/0001-67;TALITA ATENDIM DIRETO;TALITA SANTOS STEVANELLI;RODONAVES ATE 100 KG; 10.889,73 ;
NFS;148330;13453;07/01/2026;08:11;MARCELO DE ALMEIDA BORBA CIA LTDA;88.965.736/0001-45;REPRESENTACOES JT LTDA.;GABRIELA FERREIRA NUNES;TW TRANSPORTES WALDEMAR LTDA (S); 6.684,15 ;
NFS;148331;13449;07/01/2026;08:44;AUTO PECAS ROSA & QUEIROZ LTDA - EPP;16.994.188/0001-70;MARROM REPRESENTAÇÕES LTDA.;RENATA FERREIRA;ENLOG TRANSPORTES E LOGISTICA LTDA ME(N) (EMBORCACAO); 3.552,10 ;
NFS;148332;13484;07/01/2026;08:45;TRIEIXO DIESEL PARTS;61.190.608/0001-10;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;O PROPRIO; 3.692,69 ;
NFS;148333;13486;07/01/2026;09:04;REV COMERCIO E REPRESENTACOES LTDA;34.969.576/0001-83;R DA SILVA LIMA & CIA LTDA;RENATA FERREIRA;RODOCARGAS NORDESTE LTDA.(S); 13.396,92 ;
NFS;148334;13454;07/01/2026;09:14;N.A. & CIA LTDA ME;07.274.043/0001-04;VANORTE REPRESENTAÇOES LTDA;RENATA FERREIRA;TRANSVITALINO TRANSP. DE CARGAS VITALINO EIRELI (N; 3.425,71 ;
NFS;148337;13482;07/01/2026;10:47;TRUCK CENTER UMUARAMA LTDA ME;12.493.902/0001-96;AAR CISCATO LTDA.;LUAN CLEMENTE COSTA;BRASPRESS BRASIL TRANSP. INTERMODAL LTDA (COLETA); 1.700,10 ;
NFS;148339;13459;07/01/2026;11:07;AUTO PECAS DALDEGAN LTDA;03.762.256/0001-24;FABIO MAGELA CARVALHO DE FREITAS ME;MARINETE GONÇALVES DE OLIVEIRA;TRANS MINAS TRANSPORTES LTDA - EPP. (N); 8.457,43 ;
NFS;148340;13481;07/01/2026;11:37;FREIOS TURBO LTDA;03.662.866/0001-56;DUTRA DE MELO REPRESENTACOES LTDA ME;FRANCIELLE DE OLIVEIRA BUENO;RODONASA CARGAS E ENCOMENDAS LTDA (N); 4.077,09 ;
NFS;148341;13456;07/01/2026;11:40;AUTO PECAS PERIMETRAL LTDA;07.647.850/0001-25;DUTRA DE MELO REPRESENTACOES LTDA ME;FRANCIELLE DE OLIVEIRA BUENO;RODONAVES TRANSPORTES E ENCOMENDAS LTDA; 8.763,52 ;
NFS;148342;13434;07/01/2026;11:46;JS DISTRIBUIDORA DE PECAS S/A;04.185.877/0025-22;GABRIEL ATENDIMENTO DIRETO;GABRIEL NEVES;ALFA TRANSPORTES ESPECIAIS LTDA; 3.076,46 ;
NFS;148343;13477;07/01/2026;12:16;DINATEC PECAS E SERVICOS LTDA;56.124.506/0004-00;THAIS ATENDIM DIRETO;THAIS SERPA KOVACIC;RODONAVES ATE 100 KG; 4.164,28 ;
NFS;148344;13491;07/01/2026;14:09;MASSADA DISTRIBUIDORA DE AUTO PECAS LTDA - EPP;23.671.280/0001-65;RICARDO ATENDIM DIRETO;JOSE RICARDO ZAGHI;SPEED WORK TRANSPORTES LTDA; 41.586,60 ;
NFS;148346;13504;07/01/2026;14:51;DICAF DIESEL COMERCIO DE AUTO PEÇASE SERVIÇOS LTDA.;34.265.737/0001-58;GABRIEL ATENDIMENTO DIRETO;GABRIEL NEVES;O PROPRIO; 3.172,16 ;
NFS;148347;13415;07/01/2026;15:46;DECAUPECAS COMERCIO DE PECAS LTDA;04.288.331/0001-20;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;O PROPRIO; 6.269,42 ;
NFS;148348;13483;07/01/2026;16:01;DINATEC PECAS E SERVICOS LTDA;56.124.506/0006-71;THAIS ATENDIM DIRETO;THAIS SERPA KOVACIC;RODONAVES ATE 100 KG; 13.543,67 ;
NFS;148350;13500;07/01/2026;16:04;DIRCAMPE COM. DE PECAS E SERV. AUTOM. LTDA.;23.287.307/0001-10;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;RODONAVES ATE 100 KG; 3.177,94 ;
NFS;148351;13492;07/01/2026;16:05;MERCANTE DISTRIBUIDORA DE AUTO PECAS LTDA;04.575.672/0003-48;RICARDO ATENDIM DIRETO;JOSE RICARDO ZAGHI;SPEED WORK TRANSPORTES LTDA; 74.008,06 ;
NFS;148352;13495;07/01/2026;16:33;BRASIL DISTRIBUIDORA AUTOMOTIVA;15.174.510/0001-52;WALDISNEY REPRESENTACOES LTDA. M.E.;ANDRE OLIVEIRA;TRES ESTRELAS TURISMO LTDA.(N); 1.417,02 ;
NFS;148354;13466;07/01/2026;16:42;CAUPECAS COMERCIO LTDA;02.247.502/0001-47;AVANT COMERCIO E REPRESENTAÇOES;MARINETE GONÇALVES DE OLIVEIRA;TS CURSINO TRANSPORTE DE CARGA LTDA N; 10.841,04 ;
NFS;148355;13424;07/01/2026;16:43;BORMANA COMERCIO DE AUTO PECAS LTDA;93.527.794/0001-27;REPRESENTACOES JT LTDA.;GABRIELA FERREIRA NUNES;MILENIUM TRANSPORTES LTDA; 4.165,57 ;
NFS;148356;13440;07/01/2026;16:46;MORELATE SUDESTE DISTRIBUIDORA DE AUTO PECAS LTDA;36.047.577/0001-04;FRANCIELLE ATENDIM DIRETO;FRANCIELLE DE OLIVEIRA BUENO;MECANICA INDUSTRIAL CENTRO LTDA; 25.862,33 ;
NFS;148357;13458;07/01/2026;16:48;BORMANA COMERCIO DE AUTO PECAS LTDA;93.527.794/0001-27;REPRESENTACOES JT LTDA.;GABRIELA FERREIRA NUNES;MILENIUM TRANSPORTES LTDA; 6.920,82 ;
NFS;148358;13438;07/01/2026;16:49;APAIL DIESEL AUTOPECAS LTDA.;23.360.605/0003-50;FABIO MAGELA CARVALHO DE FREITAS ME;MARINETE GONÇALVES DE OLIVEIRA;EMPRESA DE TRANSPORTES MARTINS LTDA(S) (TRANSMARTINS); 25.697,88 ;
NFS;148359;13419;07/01/2026;16:49;BORMANA COMERCIO DE AUTO PECAS LTDA;93.527.794/0001-27;REPRESENTACOES JT LTDA.;GABRIELA FERREIRA NUNES;MILENIUM TRANSPORTES LTDA; 5.328,73 ;
